"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000133805",243.60731646579,0.754499620301878,0.268113300390393,2.81410739117854,0.00489128849932137,0.788008478532461
"ENSG00000189184",178.043099524515,0.568404484945082,0.202300345989081,2.80970594571183,0.00495867825056133,0.789677828438885
"ENSG00000216197",55.1528939867602,0.982062769123508,0.349655219937483,2.808660397803,0.00497480936945008,0.789677828438885
"ENSG00000134297",34.2876297377248,-0.8773228876461,0.313729767727673,-2.79642857609751,0.00516708304435574,0.796764205439656
"ENSG00000166348",2999.94577412921,0.663092522329716,0.236886941630899,2.79919407023669,0.00512303366189359,0.796764205439656
"ENSG00000185950",235.404261968895,0.693693220263082,0.247478764242764,2.80304139381675,0.00506231715478086,0.796764205439656
"ENSG00000196782",188.333653059588,0.49178203506526,0.175786092462497,2.79761628565798,0.00514812319026233,0.796764205439656
"ENSG00000131115",160.63452944783,0.427040347077302,0.153089653931665,2.78947881917559,0.005279294952128,0.807806267414607
"ENSG00000189221",288.483095722719,1.27388316508342,0.457338941164072,2.7854246608456,0.0053457661051034,0.807806267414607
"ENSG00000266258",39.8548717830701,0.714393020901819,0.256504377913904,2.78511044026549,0.00535094942747308,0.807806267414607
"ENSG00000010671",25.1460493831161,-1.25096313774997,0.450522811372257,-2.77669211452276,0.00549151707038849,0.817968285383708
"ENSG00000151413",468.089509130754,-0.382410452475235,0.138103969817959,-2.76900405527304,0.00562279353631798,0.817968285383708
"ENSG00000164120",71.5170174449467,0.85960275728659,0.310044882051761,2.77251071392652,0.00556256882598359,0.817968285383708
"ENSG00000169189",74.7757960242965,-0.620192562395638,0.224151882875407,-2.76684074405195,0.00566023984133363,0.817968285383708
"ENSG00000183666",336.924322422787,-0.768925712612455,0.278041812509548,-2.76550388472974,0.00568349281117084,0.817968285383708
"ENSG00000223416",30.1855748101021,-0.911185574221805,0.329094491044856,-2.76876580743981,0.00562690655910526,0.817968285383708
"ENSG00000263611",42.7090081355114,1.21930698958729,0.439727882907024,2.77286712301821,0.00555648042204379,0.817968285383708
"ENSG00000065882",1485.22668246135,-0.580195305263157,0.211556432170368,-2.74250846126919,0.00609718790344911,0.818795231650607
"ENSG00000069702",369.521855936745,0.439372045117874,0.159197727831237,2.75991404590677,0.00578165711078646,0.818795231650607
"ENSG00000115661",275.847417784236,-0.703226562246431,0.257559078768946,-2.73035051067755,0.00632670190696174,0.818795231650607
"ENSG00000138439",271.381441035256,0.481395669000583,0.17525671051702,2.7468030615229,0.00601792582573882,0.818795231650607
"ENSG00000140795",1336.22937021594,0.856741303205903,0.311906507463967,2.74678880595295,0.00601818738677911,0.818795231650607
"ENSG00000146409",120.261281455181,-0.776851604653224,0.284474904951731,-2.7308264846245,0.0063175723692807,0.818795231650607
"ENSG00000164675",96.7062159936123,0.865588564139954,0.316274044048296,2.7368308605425,0.00620341789499551,0.818795231650607
